any;àmbit territorial de planificació;branques d'activitat;concepte;estat;valor
2021;Terres de l'Ebre;transport, informació i comunicacions;valor afegit brut (milions €);p;165,4
2021;Terres de l'Ebre;hostaleria;valor afegit brut (milions €);p;193,7
2021;Terres de l'Ebre;activitats financeres i d'assegurances;valor afegit brut (milions €);p;121,2
2021;Terres de l'Ebre;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;543,9
2021;Terres de l'Ebre;administració pública i altres serveis;valor afegit brut (milions €);p;862,6
2021;Terres de l'Ebre;total;valor afegit brut (milions €);p;2443
2021;Ponent;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;1575,6
2021;Ponent;transport, informació i comunicacions;valor afegit brut (milions €);p;684
2021;Ponent;hostaleria;valor afegit brut (milions €);p;342,4
2021;Ponent;activitats financeres i d'assegurances;valor afegit brut (milions €);p;231,9
2021;Ponent;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;1395,3
2021;Ponent;administració pública i altres serveis;valor afegit brut (milions €);p;2147,4
2021;Ponent;total;valor afegit brut (milions €);p;6376,6
2021;Comarques Centrals;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;1378,4
2021;Comarques Centrals;transport, informació i comunicacions;valor afegit brut (milions €);p;466,8
2021;Comarques Centrals;hostaleria;valor afegit brut (milions €);p;358,4
2021;Comarques Centrals;activitats financeres i d'assegurances;valor afegit brut (milions €);p;398,8
2021;Comarques Centrals;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;1770,6
2021;Comarques Centrals;administració pública i altres serveis;valor afegit brut (milions €);p;1957
2021;Comarques Centrals;total;valor afegit brut (milions €);p;6330
2021;Alt Pirineu i Aran;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;193,7
2021;Alt Pirineu i Aran;transport, informació i comunicacions;valor afegit brut (milions €);p;69,1
2021;Alt Pirineu i Aran;hostaleria;valor afegit brut (milions €);p;221,4
2021;Alt Pirineu i Aran;activitats financeres i d'assegurances;valor afegit brut (milions €);p;54,1
2021;Alt Pirineu i Aran;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;324,9
2021;Alt Pirineu i Aran;administració pública i altres serveis;valor afegit brut (milions €);p;412,1
2021;Alt Pirineu i Aran;total;valor afegit brut (milions €);p;1275,3
2021;Penedès;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;1379,7
2021;Penedès;transport, informació i comunicacions;valor afegit brut (milions €);p;491,1
2021;Penedès;hostaleria;valor afegit brut (milions €);p;500,3
2021;Penedès;activitats financeres i d'assegurances;valor afegit brut (milions €);p;354,6
2021;Penedès;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;2180,1
2021;Penedès;administració pública i altres serveis;valor afegit brut (milions €);p;1891,6
2021;Penedès;total;valor afegit brut (milions €);p;6797,4
2021;Catalunya;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;32437,7
2021;Catalunya;transport, informació i comunicacions;valor afegit brut (milions €);p;18421,6
2021;Catalunya;hostaleria;valor afegit brut (milions €);p;10221,6
2021;Catalunya;activitats financeres i d'assegurances;valor afegit brut (milions €);p;7886,2
2021;Catalunya;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;51349
2021;Catalunya;administració pública i altres serveis;valor afegit brut (milions €);p;45485,4
2021;Catalunya;total;valor afegit brut (milions €);p;165801,3
2022;Metropolità;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;26150,7
2022;Metropolità;transport, informació i comunicacions;valor afegit brut (milions €);p;17043,2
2022;Metropolità;hostaleria;valor afegit brut (milions €);p;9421,8
2022;Metropolità;activitats financeres i d'assegurances;valor afegit brut (milions €);p;6508
2022;Metropolità;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;42588,8
2022;Metropolità;administració pública i altres serveis;valor afegit brut (milions €);p;33761,5
2022;Metropolità;total;valor afegit brut (milions €);p;135474
2022;Comarques Gironines;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;3392,2
2022;Comarques Gironines;transport, informació i comunicacions;valor afegit brut (milions €);p;1154,8
2022;Comarques Gironines;hostaleria;valor afegit brut (milions €);p;2034,7
2022;Comarques Gironines;activitats financeres i d'assegurances;valor afegit brut (milions €);p;524,6
2022;Comarques Gironines;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;3985
2022;Comarques Gironines;administració pública i altres serveis;valor afegit brut (milions €);p;4246,9
2022;Comarques Gironines;total;valor afegit brut (milions €);p;15338,2
2022;Camp de Tarragona;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;1863,1
2022;Camp de Tarragona;transport, informació i comunicacions;valor afegit brut (milions €);p;981,5
2022;Camp de Tarragona;hostaleria;valor afegit brut (milions €);p;1271,2
2022;Camp de Tarragona;activitats financeres i d'assegurances;valor afegit brut (milions €);p;313,7
2022;Camp de Tarragona;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;2682,1
2022;Camp de Tarragona;administració pública i altres serveis;valor afegit brut (milions €);p;3458,5
2022;Camp de Tarragona;total;valor afegit brut (milions €);p;10570,1
2022;Terres de l'Ebre;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;634,6
2022;Terres de l'Ebre;transport, informació i comunicacions;valor afegit brut (milions €);p;192,8
2022;Terres de l'Ebre;hostaleria;valor afegit brut (milions €);p;253,6
2022;Terres de l'Ebre;activitats financeres i d'assegurances;valor afegit brut (milions €);p;127,6
2022;Terres de l'Ebre;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;578,3
2022;Terres de l'Ebre;administració pública i altres serveis;valor afegit brut (milions €);p;922,4
2022;Terres de l'Ebre;total;valor afegit brut (milions €);p;2709,2
2022;Ponent;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;1914,9
2022;Ponent;transport, informació i comunicacions;valor afegit brut (milions €);p;807
2022;Ponent;hostaleria;valor afegit brut (milions €);p;450,4
2022;Ponent;activitats financeres i d'assegurances;valor afegit brut (milions €);p;254,9
2022;Ponent;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;1475,5
2022;Ponent;administració pública i altres serveis;valor afegit brut (milions €);p;2269,1
2022;Ponent;total;valor afegit brut (milions €);p;7171,8
2022;Comarques Centrals;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;1580,3
2022;Comarques Centrals;transport, informació i comunicacions;valor afegit brut (milions €);p;547,7
2022;Comarques Centrals;hostaleria;valor afegit brut (milions €);p;453,7
2022;Comarques Centrals;activitats financeres i d'assegurances;valor afegit brut (milions €);p;430,4
2022;Comarques Centrals;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;1876,3
2022;Comarques Centrals;administració pública i altres serveis;valor afegit brut (milions €);p;2108,5
2022;Comarques Centrals;total;valor afegit brut (milions €);p;6996,9
2022;Alt Pirineu i Aran;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;227
2022;Alt Pirineu i Aran;transport, informació i comunicacions;valor afegit brut (milions €);p;80,4
2022;Alt Pirineu i Aran;hostaleria;valor afegit brut (milions €);p;299,2
2022;Alt Pirineu i Aran;activitats financeres i d'assegurances;valor afegit brut (milions €);p;59,9
2022;Alt Pirineu i Aran;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;346,9
2022;Alt Pirineu i Aran;administració pública i altres serveis;valor afegit brut (milions €);p;463,3
2022;Alt Pirineu i Aran;total;valor afegit brut (milions €);p;1476,7
2022;Penedès;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;1571,8
2022;Penedès;transport, informació i comunicacions;valor afegit brut (milions €);p;592,8
2022;Penedès;hostaleria;valor afegit brut (milions €);p;695,6
2022;Penedès;activitats financeres i d'assegurances;valor afegit brut (milions €);p;391,4
2022;Penedès;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;2327,3
2022;Penedès;administració pública i altres serveis;valor afegit brut (milions €);p;2043,6
2022;Penedès;total;valor afegit brut (milions €);p;7622,4
2022;Catalunya;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;37334,5
2022;Catalunya;transport, informació i comunicacions;valor afegit brut (milions €);p;21400,2
2022;Catalunya;hostaleria;valor afegit brut (milions €);p;14880
2022;Catalunya;activitats financeres i d'assegurances;valor afegit brut (milions €);p;8610,4
2022;Catalunya;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;55860,4
2022;Catalunya;administració pública i altres serveis;valor afegit brut (milions €);p;49273,7
2022;Catalunya;total;valor afegit brut (milions €);p;187359,2
