any;àmbit territorial de planificació;branques d'activitat;concepte;estat;valor
2013;Metropolità;hostaleria;valor afegit brut (milions €);;6713,6
2013;Metropolità;activitats financeres i d'assegurances;valor afegit brut (milions €);;4939,1
2013;Metropolità;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;30027,6
2013;Metropolità;administració pública i altres serveis;valor afegit brut (milions €);;25592
2013;Metropolità;total;valor afegit brut (milions €);;100451,4
2013;Comarques Gironines;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;2417,6
2013;Comarques Gironines;transport, informació i comunicacions;valor afegit brut (milions €);;828,3
2013;Comarques Gironines;hostaleria;valor afegit brut (milions €);;1240,7
2013;Comarques Gironines;activitats financeres i d'assegurances;valor afegit brut (milions €);;418,2
2013;Comarques Gironines;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;3167,4
2013;Comarques Gironines;administració pública i altres serveis;valor afegit brut (milions €);;3184,6
2013;Comarques Gironines;total;valor afegit brut (milions €);;11256,9
2013;Camp de Tarragona;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1417,7
2013;Camp de Tarragona;transport, informació i comunicacions;valor afegit brut (milions €);;843,1
2013;Camp de Tarragona;hostaleria;valor afegit brut (milions €);;786,3
2013;Camp de Tarragona;activitats financeres i d'assegurances;valor afegit brut (milions €);;267,1
2013;Camp de Tarragona;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;2101,8
2013;Camp de Tarragona;administració pública i altres serveis;valor afegit brut (milions €);;2571,6
2013;Camp de Tarragona;total;valor afegit brut (milions €);;7987,6
2013;Terres de l'Ebre;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;474,1
2013;Terres de l'Ebre;transport, informació i comunicacions;valor afegit brut (milions €);;153,8
2013;Terres de l'Ebre;hostaleria;valor afegit brut (milions €);;150,6
2013;Terres de l'Ebre;activitats financeres i d'assegurances;valor afegit brut (milions €);;81,9
2013;Terres de l'Ebre;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;499,9
2013;Terres de l'Ebre;administració pública i altres serveis;valor afegit brut (milions €);;709,8
2013;Terres de l'Ebre;total;valor afegit brut (milions €);;2070
2013;Ponent;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1265,8
2013;Ponent;transport, informació i comunicacions;valor afegit brut (milions €);;503,4
2013;Ponent;hostaleria;valor afegit brut (milions €);;272
2013;Ponent;activitats financeres i d'assegurances;valor afegit brut (milions €);;182,9
2013;Ponent;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1354,5
2013;Ponent;administració pública i altres serveis;valor afegit brut (milions €);;1773,3
2013;Ponent;total;valor afegit brut (milions €);;5351,9
2013;Comarques Centrals;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1195,8
2013;Comarques Centrals;transport, informació i comunicacions;valor afegit brut (milions €);;404,1
2013;Comarques Centrals;hostaleria;valor afegit brut (milions €);;298,1
2013;Comarques Centrals;activitats financeres i d'assegurances;valor afegit brut (milions €);;189,8
2013;Comarques Centrals;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1606
2013;Comarques Centrals;administració pública i altres serveis;valor afegit brut (milions €);;1539,8
2013;Comarques Centrals;total;valor afegit brut (milions €);;5233,7
2013;Alt Pirineu i Aran;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;182,3
2013;Alt Pirineu i Aran;transport, informació i comunicacions;valor afegit brut (milions €);;58,4
2013;Alt Pirineu i Aran;hostaleria;valor afegit brut (milions €);;198,2
2013;Alt Pirineu i Aran;activitats financeres i d'assegurances;valor afegit brut (milions €);;27,4
2013;Alt Pirineu i Aran;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;296,3
2013;Alt Pirineu i Aran;administració pública i altres serveis;valor afegit brut (milions €);;370,4
2013;Alt Pirineu i Aran;total;valor afegit brut (milions €);;1133
2013;Penedès;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1168,9
