"Any","Codi comarca","Comarca","Població","Domèstic xarxa","Activitats econòmiques i fonts pròpies","Total","Consum domèstic per càpita"
"2022","35","SOLSONÈS, EL","13.632","569.525","738.564","1.308.089","114,46"
"2022","36","TARRAGONÈS, EL","263.428","13.236.385","42.708.805","55.945.190","137,66"
"2022","37","TERRA ALTA","11.408","390.444","260.990","651.434","93,77"
"2022","38","URGELL, L'","37.447","1.556.541","1.269.562","2.826.103","113,88"
"2022","39","VAL D'ARAN, LA","10.268","1.397.874","903.296","2.301.170","372,98"
"2022","40","VALLÈS OCCIDENTAL, EL","940.881","37.373.574","22.631.442","60.005.016","108,83"
"2022","41","VALLÈS ORIENTAL, EL","417.543","17.225.409","13.969.890","31.195.299","113,03"
"2022","42","Moianès","14.428","624.914","697.786","1.322.700","118,66"
"2021","1","ALT CAMP, L'","45.045","1.714.466","2.915.294","4.629.760","104,28"
"2021","2","ALT EMPORDÀ, L'","143.762","8.595.769","4.172.993","12.768.762","163,81"
"2021","3","ALT PENEDÈS, L'","110.172","4.603.268","3.011.623","7.614.891","114,47"
"2021","4","ALT URGELL, L'","20.453","1.053.239","1.416.721","2.469.960","141,08"
"2021","5","ALTA RIBAGORÇA, L'","3.945","461.015","201.657","662.672","320,17"
"2021","6","ANOIA, L'","124.112","5.182.118","6.005.787","11.187.905","114,39"
"2021","7","BAGES, EL","180.962","7.609.029","6.271.304","13.880.333","115,2"
"2021","8","BAIX CAMP, EL","195.098","9.821.710","5.573.863","15.395.573","137,92"
"2021","9","BAIX EBRE, EL","78.721","3.414.757","4.655.762","8.070.519","118,84"
"2021","10","BAIX EMPORDÀ, EL","137.268","10.749.300","5.741.767","16.491.067","214,54"
"2021","11","BAIX LLOBREGAT, EL","833.312","34.192.024","23.162.533","57.354.557","112,42"
"2021","12","BAIX PENEDÈS, EL","110.439","6.804.378","1.949.171","8.753.549","168,8"
"2021","13","BARCELONÈS, EL","2.280.967","87.617.832","34.631.711","122.249.543","105,24"
"2021","14","BERGUEDÀ, EL","40.004","1.504.130","1.125.173","2.629.303","103,01"
"2021","15","CERDANYA, LA","19.230","1.412.914","2.053.735","3.466.649","201,3"
"2021","16","CONCA DE BARBERÀ, LA","20.104","741.923","647.465","1.389.388","101,11"
"2021","17","GARRAF, EL","154.264","7.899.473","2.482.153","10.381.626","140,29"
"2021","18","GARRIGUES, LES","19.010","724.839","1.031.376","1.756.215","104,46"
"2021","19","GARROTXA, LA","59.163","2.500.951","4.075.751","6.576.702","115,81"
"2021","20","GIRONÈS, EL","196.768","7.972.533","7.013.444","14.985.977","111,01"
"2021","21","MARESME, EL","459.625","21.500.298","8.071.578","29.571.876","128,16"
"2021","22","MONTSIÀ, EL","68.397","2.836.697","1.935.397","4.772.094","113,63"
"2021","23","NOGUERA, LA","39.169","1.829.434","1.705.103","3.534.537","127,96"
"2021","24","OSONA","164.077","6.657.825","8.233.359","14.891.184","111,17"
"2021","25","PALLARS JUSSÀ, EL","13.170","807.845","257.622","1.065.467","168,05"
"2021","26","PALLARS SOBIRÀ, EL","7.101","569.639","565.576","1.135.215","219,78"
"2021","27","PLA D'URGELL, EL","36.769","1.684.890","4.169.719","5.854.609","125,54"
"2021","28","PLA DE L'ESTANY, EL","32.876","1.390.103","1.442.415","2.832.518","115,84"
"2021","29","PRIORAT, EL","9.239","347.558","133.327","480.885","103,06"
"2021","30","RIBERA D'EBRE, LA","21.864","997.496","2.944.806","3.942.302","124,99"
"2021","31","RIPOLLÈS, EL","25.449","1.131.161","1.110.032","2.241.193","121,78"
"2021","32","SEGARRA, LA","23.412","863.188","2.685.024","3.548.212","101,01"
"2021","33","SEGRIÀ, EL","211.609","9.911.298","7.487.500","17.398.798","128,32"
"2021","34","SELVA, LA","175.702","9.031.113","8.730.934","17.762.047","140,82"
"2021","35","SOLSONÈS, EL","13.600","568.287","704.048","1.272.335","114,48"
"2021","36","TARRAGONÈS, EL","262.001","13.214.891","40.877.304","54.092.195","138,19"
"2021","37","TERRA ALTA","11.401","408.164","203.401","611.565","98,08"
"2021","38","URGELL, L'","37.276","1.599.319","1.253.057","2.852.376","117,55"
